Local,Dirección,Departamento,Dirección corrregida,Latitud,Longitud,Estado
VETERINARIA LA ESTACADA,Jose Maria Mantero 3062,Montevideo ,"3062 Jose Maria Montero, Uruguay",-34.922786,-56.154927,success
VETERINARIA LA HACIENDA,Avenida Doctor Luis Alberto de Herrera 1557,Montevideo ,"1557 Avenida Doctor Luis Alberto De Herrera, Uruguay",-34.897964,-56.141022,success
VETERINARIA LAS PLACES,Avenida Doctor Luis Alberto de Herrera 1601,Montevideo ,"1601 Avenida Doctor Luis Alberto De Herrera, Uruguay",-34.897259,-56.141902,success
Veterinaria Libia,Camino Maldonado 5679,Montevideo ,"5679 Camino Maldonado, Uruguay",-34.842179,-56.124862,success
Veterinaria Libia (2),Camino Guerra 6774 bis,Montevideo ,"6774 Camino Guerra, Uruguay",-34.824297,-56.100953,success
VETERINARIA LUNA PLATEADA,Avenida General Flores 3429,Montevideo ,"3429 Avenida General Flores, Uruguay",-34.864967,-56.17064,success
VETERINARIA MASCOTAS Y CIA.,Pedro F Berro 845,Montevideo ,"845 Pedro F Berro, Uruguay",-34.915403,-56.152944,success
VETERINARIA MIRAMAR,Avenida Doctor Luis Alberto de Herrera 1797,Montevideo ,"1797 Avenida Doctor Luis Alberto De Herrera, Uruguay",-34.894156,-56.14428,success
VETERINARIA MOVILVET,Avenida General Flores 3421,Montevideo ,"3421 Avenida General Flores, Uruguay",-34.865109,-56.17074,success
VETERINARIA PADDA,Avenida General Flores 2591,Montevideo ,"2591 Avenida General Flores, Uruguay",-34.880014,-56.181597,success
VETERINARIA PALERMO SRL,Doctor Javier Barros Amorin 953,Montevideo ,"953 Doctor Javier Barrios Amorin, Uruguay",-34.912411,-56.18397,success
VETERINARIA PARATY,Avenida Millan 2977,Montevideo ,"2977 Avenida Millan, Uruguay",-34.871704,-56.190174,success
VETERINARIA PET PLANET,Avenida Italia 5572,Montevideo ,"5572 Avenida Italia, Uruguay",-34.883641,-56.087119,success
VETERINARIA PICCIOLI,Avenida 8 de octubre 4720,Montevideo ,"4720 Avenida 8 de Octubre, Uruguay",-34.858219,-56.133509,success
VETERINARIA RIVERA,Avenida general Rivera 2747,Montevideo ,"2735,2743,2747,2751 Avenida General Rivera, Uruguay",-34.903056,-56.15529,success
VETERINARIA ROMERO,Avenida 8 de octubre 4589,Montevideo ,"4587,4589 Avenida 8 de Octubre, Uruguay",-34.860881,-56.133913,success
